index,scenename,name,tag,posx,posy,posz,rotx,roty,rotz,scalex,scaley,scalez
2,Village,BackGround,plant,43.31,0,44.46,0,0,0,0.6405201,0.6405201,0.6405201
3,Village,BackGround,plant,45.85,0,43.54,0,0,0,0.6405201,0.6405201,0.6405201
4,Village,BackGround,plant_weed,42.69,0,43.6,0,0,0,1,1,1
5,Village,BackGround,plant,20.73,0,28.37,0,0,0,0.64699,0.64699,0.64699
6,Village,BackGround,plant,29.88,0,28.37,0,0,0,0.64699,0.64699,0.64699
7,Village,BackGround,plant,29.88,0,21.6,0,0,0,0.64699,0.64699,0.64699
8,Village,BackGround,plant,20.73,0,21.6,0,0,0,0.64699,0.64699,0.64699
9,Village,BackGround,plant_weed,29.78,0,28.11,0,0,0,1,1,1
10,Village,BackGround,plant_weed,29.65,0,21.29,0,0,0,1,1,1
11,Village,BackGround,plant_weed,20.64,0,21.3,0,0,0,1,1,1
12,Village,BackGround,plant_weed,20.62,0,28.19,0,0,0,1,1,1
13,Village,BackGround,plant,5.02,0,28.93,0,0,0,0.64699,0.64699,0.64699
14,Village,BackGround,plant_weed,4.93,0,28.63,0,0,0,1,1,1
15,Village,BackGround,plant,7.99,0,28.82,0,0,0,0.64699,0.64699,0.64699
16,Village,BackGround,plant_weed,7.9,0,28.52,0,0,0,1,1,1
17,Village,BackGround,plant,4.63,0,21.83,0,0,0,0.64699,0.64699,0.64699
18,Village,BackGround,plant_weed,4.54,0,21.53,0,0,0,1,1,1
19,Village,BackGround,plant,7.5,0,21.93,0,0,0,0.64699,0.64699,0.64699
20,Village,BackGround,plant_weed,7.41,0,21.63,0,0,0,1,1,1
21,Village,BackGround,plant,45.63,0,28.41,0,0,0,0.64699,0.64699,0.64699
22,Village,BackGround,plant_weed,45.54,0,28.11,0,0,0,1,1,1
23,Village,BackGround,plant,42.82,0,28.37,0,0,0,0.64699,0.64699,0.64699
24,Village,BackGround,plant_weed,42.73,0,28.07,0,0,0,1,1,1
25,Village,BackGround,plant,39.53,0,28.64,0,0,0,0.64699,0.64699,0.64699
26,Village,BackGround,plant_weed,39.44,0,28.34,0,0,0,1,1,1
27,Village,BackGround,plant,45.56,0,22.03,0,0,0,0.64699,0.64699,0.64699
28,Village,BackGround,plant_weed,45.47,0,21.73,0,0,0,1,1,1
29,Village,BackGround,plant,43.04,0,22.02,0,0,0,0.64699,0.64699,0.64699
30,Village,BackGround,plant_weed,42.95,0,21.72,0,0,0,1,1,1
31,Village,BackGround,plant,46.91,0,14.93,0,0,0,0.64699,0.64699,0.64699
32,Village,BackGround,plant_weed,46.82,0,14.63,0,0,0,1,1,1
33,Village,BackGround,plant,37.28,0,21.97,0,0,0,0.64699,0.64699,0.64699
34,Village,BackGround,plant_weed,37.19,0,21.67,0,0,0,1,1,1
35,Village,BackGround,plant,31.87,0,38.77,0,0,0,0.64699,0.64699,0.64699
36,Village,BackGround,plant_weed,31.64,0,38.46,0,0,0,1,1,1
37,Village,BackGround,plant,18.31,0,39.03,0,0,0,0.64699,0.64699,0.64699
38,Village,BackGround,plant_weed,18.08,0,38.72,0,0,0,1,1,1
39,Village,BackGround,plant,18.33,0,36.83,0,0,0,0.64699,0.64699,0.64699
40,Village,BackGround,plant_weed,18.1,0,36.52,0,0,0,1,1,1
41,Village,BackGround,plant,31.6,0,36.54,0,0,0,0.64699,0.64699,0.64699
42,Village,BackGround,plant_weed,31.37,0,36.23,0,0,0,1,1,1
43,Village,BackGround,plant,22.04,0,14.44,0,0,0,0.64699,0.64699,0.64699
44,Village,BackGround,plant_weed,21.81,0,14.13,0,0,0,1,1,1
45,Village,BackGround,plant,35.98,0,6.86,0,0,0,0.64699,0.64699,0.64699
46,Village,BackGround,plant_weed,35.75,0,6.55,0,0,0,1,1,1
47,Village,BackGround,plant,35.84,0,4.079999,0,0,0,0.64699,0.64699,0.64699
48,Village,BackGround,plant_weed,35.61,0,3.77,0,0,0,1,1,1
49,Village,BackGround,plant,46.98,0,17.4,0,0,0,0.64699,0.64699,0.64699
50,Village,BackGround,plant_weed,46.89,0,17.1,0,0,0,1,1,1
51,Village,BackGround,plant,31.6,0,34.48,0,0,0,0.64699,0.64699,0.64699
52,Village,BackGround,plant_weed,31.37,0,34.17,0,0,0,1,1,1
53,Village,BackGround,plant,18.33,0,34.64,0,0,0,0.64699,0.64699,0.64699
54,Village,BackGround,plant_weed,18.1,0,34.33,0,0,0,1,1,1
55,Village,BackGround,plant_weed,45.46,0,41.72,0,0,0,1,1,1
56,Village,BackGround,Mountain,10.0073,0,55.3194,0,0,0,0.1535271,0.1423988,0.06874119
57,Village,BackGround,Mountain,36.6,0,55.9251,0,0,0,0.11073,0.1318683,0.07602722
58,Village,BackGround,Mountain,44.8041,0,55.9251,0,0,0,0.09393226,0.09068787,0.07602722
59,Village,BackGround,Mountain,0.15,0,54.57,0,326.417,0,0.08207561,0.1170518,0.0518324
60,Village,BackGround,Mountain,23.8,0,56.45,0,0,0,0.1537724,0.1980627,0.07940449
1,SouthForest,Building,Wall_Corner,-13.00171,0.02246571,35.8738,270,271.5872,0,1,1,1
2,SouthForest,Building,Wall_Gate,-8.410103,0.2961311,35.93663,0,271.5872,0,1,1,1
3,SouthForest,Building,Wall_Corner,-3.815076,0.02246475,35.82927,270,271.5872,0,1,1,1
1,SouthForest,BackGround,Mountain_1,9.303184,0,34.04523,0,181.5872,0,0.214476,0.3406308,0.1050932
2,SouthForest,BackGround,Mountain_1,-30,-3.7203,-28.3,0,88.09513,0,0.3953865,0.6279528,0.1937394
3,SouthForest,BackGround,Mountain_1,13.1,-2.4,-34,0,81.7985,0,0.2331913,0.6855876,0.2299969
4,SouthForest,BackGround,Mountain_1,-19.68,-2.4561,38.47,0,181.5872,0,0.1803666,0.5302818,0.1778958
5,SouthForest,BackGround,Mountain_1,-24.1,0,46.5,0,142.1556,0,0.1158599,0.3406308,0.1142728
6,SouthForest,BackGround,Mountain_1,-33.831,-2.3,41.069,0,181.5872,0,0.2211102,0.6500687,0.2180813
7,SouthForest,BackGround,Mountain_1,2,0,40.5,0,181.5872,0,0.1158599,0.3406308,0.1142728
8,SouthForest,BackGround,Mountain_1,15,-2.3,43.5,0,181.5872,0,0.2211102,0.6500687,0.2180813
9,SouthForest,BackGround,plant_tree_1,-15.494,0.3000002,-28.313,0,0,0,2.420506,2.420507,2.420506
10,SouthForest,BackGround,plant_tree_2,7.109695,0.02246618,-8.197136,0,181.5872,0,1,0.82,1
11,SouthForest,BackGround,plant_tree_2,5.446475,0.02246618,11.11327,0,181.5872,0,1,0.82,1
12,SouthForest,BackGround,plant_tree_2,-18.0203,0.02246618,2.092864,0,181.5872,0,1,0.82,1
13,SouthForest,BackGround,plant_tree_2,-17.8403,0.02246618,28.88286,0,181.5872,0,1,0.82,1
14,SouthForest,BackGround,plant_tree_2,6.529696,0.02246618,27.56286,0,181.5872,0,1,0.82,1
15,SouthForest,BackGround,plant_tree_2,-8.49,0.0999999,17.89,0,0,0,0.6762008,0.6762008,0.6762008
16,SouthForest,BackGround,plant_tree_3,-12.3703,0,-29.10514,0,0,0,1.870706,1.870706,1.870706
17,SouthForest,BackGround,plant_tree_3,-10.488,0.0999999,19.109,0,0,0,1.149809,1.149809,1.149809
18,SouthForest,BackGround,plant_tree_3,-4.02,0.0999999,5.06,0,0,0,1.149809,1.149809,1.149809
19,SouthForest,BackGround,plant_tree_3,-11.58,0.0999999,0.54,0,0,0,1.149809,1.149809,1.149809
20,SouthForest,BackGround,plant_weed_2,4.539133,0.02246571,22.41273,0,181.5872,0,1,1,1
21,SouthForest,BackGround,plant_weed_2,2.599769,0.02246571,28.30766,0,181.5872,0,1,1,1
22,SouthForest,BackGround,plant_weed_2,-16.34876,0.02246571,24.22203,0,181.5872,0,1,1,1
23,SouthForest,BackGround,plant_weed_3,-21.27588,0.02246571,6.099137,0,181.5872,0,1,1,1
24,SouthForest,BackGround,plant_weed_3,3.466277,0.02246571,17.33944,0,181.5872,0,1,1,1
25,SouthForest,BackGround,plant_weed_2,-6.189376,0.02246571,7.569801,0,181.5872,0,1,1,1
26,SouthForest,BackGround,plant_weed_2,-9.346462,0.02246571,20.92222,0,181.5872,0,1,1,1
27,SouthForest,BackGround,plant_weed_2,-1.470304,0.02246571,-16.59714,0,181.5872,0,1,1,1
28,SouthForest,BackGround,plant_weed_2,-10.1903,0.02246571,-18.34714,0,181.5872,0,1,1,1
29,SouthForest,BackGround,plant_weed_2,-24.1103,0.02246571,12.49286,0,181.5872,0,1,1,1
30,SouthForest,BackGround,plant_weed_3,-0.03030396,0.02246571,8.092863,0,181.5872,0,1,1,1
31,SouthForest,BackGround,plant_weed_3,1.21108,0.02246571,-6.68318,0,181.5872,0,1,1,1
32,SouthForest,BackGround,plant_weed_3,0.4796963,0.02246571,1.192863,0,181.5872,0,1,1,1
33,SouthForest,BackGround,plant_bigweed_2,-22.6003,-0.4627199,-15.53714,0,277.5081,0,3.509817,3.509817,3.509817
34,SouthForest,BackGround,plant_bigweed_1,-3.010304,0.03000021,-32.31713,0,14.28172,0,2.1754,2.1754,2.1754
35,SouthForest,BackGround,plant_bigweed_1,-15.1303,0.02246571,-10.33714,0,293.4466,0,1,1,1
36,SouthForest,BackGround,plant_bigweed_2,5.700352,0.03000021,-12.90425,0,181.5872,0,2.1754,2.1754,2.1754
37,SouthForest,BackGround,plant_bigweed_1,-8.960304,0.02246571,-6.057137,0,293.4466,0,1,1,1
38,SouthForest,BackGround,plant_weed_3,-17.8103,0.02246571,20.51286,0,181.5872,0,1,1,1
39,SouthForest,BackGround,plant_weed_2,-3.200304,0.02246571,15.37286,0,181.5872,0,1,1,1
40,SouthForest,BackGround,plant_weed_3,-14.43587,0.02246571,3.90913,0,181.5872,0,1,1,1
41,SouthForest,BackGround,flower_red,-24.05551,0.02246571,12.58097,0,181.5872,0,0.8791654,0.6353288,0.8791654
42,SouthForest,BackGround,flower_yellow,0.7028284,0.02246571,0.8484459,0,181.5872,0,0.8791654,0.6353288,0.8791654
43,SouthForest,BackGround,flower_blue,1.209696,0.02246475,-6.547136,0,186.4893,0,0.8791654,0.6353288,0.8791654
44,SouthForest,BackGround,flower_yellow,0.07869625,0.1252799,8.162864,0,181.5872,0,0.8791654,0.6353288,0.8791654
45,SouthForest,BackGround,flower_red,3.655103,0.02246475,17.29419,0,181.5872,0,0.8791654,0.6353288,0.8791654
46,SouthForest,BackGround,flower_blue,-9.351967,0.02246666,21.013,0,186.4893,0,0.8791654,0.6353288,0.8791654
47,SouthForest,BackGround,flower_red,-6.290304,0.02246571,7.532864,0,181.5872,0,0.8791654,0.6353288,0.8791654
48,SouthForest,BackGround,flower_blue,-21.3003,0.02246571,5.892863,0,186.4893,0,0.8791654,0.6353288,0.8791654
49,SouthForest,BackGround,flower_yellow,1.997169,0.02246571,26.34764,0,181.5872,0,0.8791654,0.6353288,0.8791654
50,SouthForest,BackGround,flower_red,-1.715667,0.02246666,21.89518,0,181.5872,0,0.8791654,0.6353288,0.8791654
51,SouthForest,BackGround,flower_red,5.329696,0.02246666,-26.39714,0,181.5872,0,0.8791654,0.6353288,0.8791654
52,SouthForest,BackGround,flower_red,-20.2703,0.02246666,-16.01714,0,181.5872,0,0.8791654,0.6353288,0.8791654
53,SouthForest,BackGround,flower_red,-21.8103,-0.06602001,-21.93714,0,181.5872,0,1.113902,0.8049616,1.113902
54,SouthForest,BackGround,flower_red,5.605774,0.02246666,-12.79059,0,181.5872,0,0.8791654,0.6353288,0.8791654
55,SouthForest,BackGround,flower_blue,-17.83472,0.02246571,20.3066,0,186.4893,0,0.8791654,0.6353288,0.8791654
56,SouthForest,BackGround,flower_blue,6.671566,0.02246571,-11.80174,0,186.4893,0,0.8791654,0.6353288,0.8791654
57,SouthForest,BackGround,flower_blue,-14.4603,0.02246571,3.702864,0,186.4893,0,0.8791654,0.6353288,0.8791654
58,SouthForest,BackGround,flower_blue,-8.903782,0.02246571,-6.074713,0,186.4893,0,0.8791654,0.6353288,0.8791654
59,SouthForest,BackGround,flower_blue,5.248312,0.02246475,-18.62109,0,186.4893,0,0.8791654,0.6353288,0.8791654
60,SouthForest,BackGround,flower_red,2.289696,0.02246666,-31.22713,0,181.5872,0,0.8791654,0.6353288,0.8791654
61,SouthForest,BackGround,plant_weed_3,-1.990304,0.02246571,22.09286,0,181.5872,0,1,1,1
62,SouthForest,BackGround,rock_1,7.939695,1.22028,-22.44714,0,181.5872,0,2.4594,2.4594,2.4594
63,SouthForest,BackGround,rock_1,-21.7103,0.3102798,-29.86714,0,181.5872,0,1,1,1
64,SouthForest,BackGround,rock_2,-0.5203037,0.6900001,-31.72713,0,181.5872,0,7.7953,16.13627,7.7953
65,SouthForest,BackGround,rock_3,-22.6403,1.2,-12.65714,0,1.587241,0,2.6501,2.6501,2.6501
66,SouthForest,BackGround,rock_3,-6.670304,1.84028,-29.61714,0,1.587241,0,2.6501,2.6501,2.6501
67,SouthForest,BackGround,rock_2,7.259697,1.23028,-16.72714,0,181.5872,0,7.7953,16.13627,7.7953
68,SouthForest,BackGround,rock_1,6.859695,0.4702797,-20.16714,0,181.5872,0,1,1,1
69,SouthForest,BackGround,rock_1,9.351267,-0.4699998,-13.32715,0,181.5872,0,2.4594,2.4594,2.4594
70,SouthForest,BackGround,rock_1,-23.8703,0.3800001,-23.25714,0,15.8366,0,2.008785,2.008785,2.008785
71,SouthForest,BackGround,rock_1,-24.9003,0.3800001,-27.22713,0,15.8366,0,2.5223,2.5223,2.5223
72,SouthForest,BackGround,rock_1,5.719696,0.3800001,-32.18714,0,181.5872,0,2.5223,2.5223,2.5223
73,SouthForest,BackGround,rock_1,-22.6203,0.3800001,-18.43714,0,181.5872,0,2.5223,2.5223,2.5223
74,SouthForest,BackGround,plant_bigweed_1,6.089696,0.03000021,-19.39714,0,181.5872,0,2.1754,2.1754,2.1754
75,SouthForest,BackGround,plant_bigweed_1,6.499697,0.03000021,-26.16714,0,150.0907,0,2.1754,2.1754,2.1754
76,SouthForest,BackGround,plant_bigweed_1,4.529696,0.3402801,-28.02714,0,150.0907,0,3.828704,3.828704,3.828704
77,SouthForest,BackGround,plant_bigweed_2,-24.22231,-0.1597199,-8.879137,0,277.5081,0,4.744922,4.744922,4.744922
78,SouthForest,BackGround,plant_bigweed_2,-21.3503,-0.04972029,-9.277136,0,277.5081,0,3.287519,3.287519,3.287519
79,SouthForest,BackGround,plant_bigweed_2,-24.7003,-0.1597199,11.10286,0,350.9358,0,4.744922,4.744922,4.744922
80,SouthForest,BackGround,Mountain_2,16.6,0.051322,-13.607,0,271.5872,0,0.2945122,0.5086251,0.1374488
81,SouthForest,BackGround,Mountain_2,-33.9,-0.1,-3.9,0,271.5872,0,0.3688394,0.5857906,0.1615148
82,SouthForest,BackGround,Mountain_2,19.14,0.099569,15.64,0,271.5872,0,0.3760715,0.5972769,0.1755126
83,SouthForest,BackGround,Mountain_2,-13.1,-5.2294,-41.6,0,181.5872,0,0.490588,0.7791519,0.19992
84,SouthForest,BackGround,Mountain_2,-30.8,-0.84848,22.895,0,271.5872,0,0.2850925,0.4527839,0.124842
